1-two-sum	0	0	0
10-regular-expression-matching	0	0	0
100-same-tree	0	0	0
11-container-with-most-water	0	0	0
12-integer-to-roman	0	0	0
13-roman-to-integer	0	0	0
14-longest-common-prefix	0	0	0
15-3sum	0	0	0
16-3sum-closest	0	0	0
17-letter-combinations-of-a-phone-number	0	0	0
18-4sum	0	0	0
19-remove-nth-node-from-end-of-list	0	0	0
2-add-two-numbers	0	0	0
20-valid-parentheses	0	0	0
21-merge-two-sorted-lists	0	0	0
22-generate-parentheses	0	0	0
23-merge-k-sorted-lists	0	0	0
24-swap-nodes-in-pairs	0	0	0
25-reverse-nodes-in-k-group	0	0	0
26-remove-duplicates-from-sorted-array	2	0	0
27-remove-element	2	0	0
28-find-the-index-of-the-first-occurrence-in-a-string	1	0	1
29-divide-two-integers	0	0	0
3-longest-substring-without-repeating-characters	0	0	0
30-substring-with-concatenation-of-all-words	0	0	0
31-next-permutation	0	0	0
32-longest-valid-parentheses	0	0	0
33-search-in-rotated-sorted-array	0	0	0
34-find-first-and-last-position	0	0	0
35-search-insert-position	0	0	0
36-valid-sudoku	0	0	0
37-sudoku-solver	0	0	0
38-count-and-say	0	0	0
39-combination-sum	0	0	0
4-median-of-two-sorted-arrays	2	0	0
40-combination-sum-ii	0	0	0
41-first-missing-positive	0	0	0
42-trapping-rain-water	0	0	0
43-multiply-strings	1	0	0
44-wildcard-matching	0	0	0
45-jump-game-ii	0	0	0
46-permutations	0	0	0
47-permutations-ii	0	0	0
48-rotate-image	0	0	0
49-group-anagrams	0	0	0
5-longest-palindromic-substring	0	0	0
50-powx-n	0	0	0
51-n-queens	0	0	0
52-n-queens-ii	0	0	0
53-maximum-subarray	0	0	0
54-spiral-matrix	0	0	0
55-jump-game	0	0	0
56-merge-intervals	0	0	0
57-insert-interval	0	0	0
58-length-of-last-word	1	0	1
59-spiral-matrix-ii	0	0	0
6-zigzag-conversion	0	0	0
60-permutation-sequence	0	0	0
61-rotate-list	0	0	0
62-unique-paths	0	0	0
63-unique-paths-ii	0	0	0
64-minimum-path-sum	0	0	0
65-valid-number	0	0	0
66-plus-one	0	0	0
67-add-binary	1	0	1
68-text-justification	0	0	0
69-sqrtx	0	0	0
7-reverse-integer	0	0	0
70-climbing-stairs	0	0	0
71-simplify-path	0	0	0
72-edit-distance	0	0	0
73-set-matrix-zeroes	0	0	0
74-search-a-2d-matrix	0	0	0
75-sort-colors	0	0	0
76-minimum-window-substring	0	0	0
77-combinations	0	0	0
78-subsets	0	0	0
79-word-search	0	0	0
8-string-to-integer-atoi	0	0	0
80-remove-duplicates-from-sorted-array-ii	0	0	0
81-search-in-rotated-sorted-array-ii	0	0	0
82-remove-duplicates-from-sorted-list-ii	0	0	0
83-remove-duplicates-from-sorted-list	0	0	0
84-largest-rectangle-in-histogram	0	0	0
85-maximal-rectangle	0	0	0
86-partition-list	0	0	0
87-scramble-string	0	0	0
88-merge-sorted-array	3	0	0
89-gray-code	0	0	0
9-palindrome-number	0	0	0
90-subsets-ii	0	0	0
91-decode-ways	0	0	0
92-reverse-linked-list-ii	0	0	0
93-restore-ip-addresses	0	0	0
94-binary-tree-inorder-traversal	0	0	0
95-unique-binary-search-trees-ii	0	0	0
96-unique-binary-search-trees	0	0	0
97-interleaving-string	0	0	0
98-validate-binary-search-tree	0	0	0
99-recover-binary-search-tree	0	0	0
101-symmetric-tree	0	0	0
102-binary-tree-level-order-traversal	0	0	0
103-binary-tree-zigzag-level-order-traversal	0	0	0
104-maximum-depth-of-binary-tree	0	0	0
105-construct-binary-tree-from-preorder-and-inorder-traversal	0	0	0
106-construct-binary-tree-from-inorder-and-postorder-traversal	0	0	0
107-binary-tree-level-order-traversal-ii	0	0	0
108-convert-sorted-array-to-binary-search-tree	0	0	0
109-convert-sorted-list-to-binary-search-tree	0	0	0
110-balanced-binary-tree	0	0	0
111-minimum-depth-of-binary-tree	0	0	0
112-path-sum	0	0	0
